Raster,Red,Green,Blue,NIR,FC,c_depth,CH,vol_cd,VOL_CH,BNDVI,GBNDVI,GNDVI,NDVI,NDVIf,EVI,EVI2,SAVI,OSAVI,TSAVIm,TSAVIg,MSR,SR,LAI
BAR_190627_1041_0001,0.035958032,0.053952838,0.005337808,0.342562354,0.439236111,1.429446716,1.972602844,2.26031262,3.119178247,0.969314138,0.704913755,0.727864963,0.810007421,0.524013676,0.504855709,0.536448587,0.523501207,0.569345803,-6.555358662,8.21080992,2.628062419,9.526726918,1.47
BAR_190627_1041_0002,0.035262433,0.053063373,0.00532004,0.340710547,0.383680556,1.474575806,1.9463166,2.036757832,2.688349804,0.969251041,0.707420213,0.73048813,0.812420388,0.496605739,0.504911358,0.535745912,0.523043726,0.569894613,-6.151677435,8.860521885,2.65279075,9.662139541,1.5
BAR_190627_1041_0003,0.03823891,0.053273831,0.005265874,0.329618079,0.274305556,1.550626068,1.988538877,1.531243242,1.963682141,0.968551049,0.6983716,0.721729137,0.792099043,0.434985501,0.479381617,0.512489304,0.503618406,0.552003999,-4.81528768,11.8601175,2.456779857,8.619965354,1.18
BAR_190627_1041_0004,0.039236578,0.05381156,0.005250764,0.324419165,0.307291667,1.559624329,2.024439039,1.725334414,2.239535687,0.968145328,0.691967798,0.715456432,0.784210319,0.448793796,0.468909046,0.50258214,0.49530601,0.544599368,-4.316467063,14.66573313,2.387438618,8.268283793,1.16
BAR_190627_1041_0005,0.038142615,0.049899689,0.005562225,0.285435156,0.130208333,1.447567902,1.946800609,0.678547454,0.912562785,0.961771308,0.674611968,0.702388884,0.76424453,0.360448507,0.419830369,0.448977114,0.450399252,0.511381119,-2.104399509,-8.420142581,2.225955345,7.48336626,1.19
BAR_190627_1041_0006,0.034181194,0.051337134,0.00575263,0.329463733,0.385416667,1.461279984,2.099311793,2.027525977,2.912795113,0.965678107,0.704621667,0.73037281,0.812007862,0.497336364,0.494973377,0.522994745,0.512854062,0.563898406,-4.587948366,14.60183833,2.648533003,9.638742793,1.65
BAR_190627_1041_0007,0.036350024,0.053008661,0.005969119,0.342775879,0.383680556,1.628565979,2.184989166,2.249456758,3.018016286,0.965768001,0.706398292,0.732133747,0.808242992,0.495002954,0.505283807,0.535703565,0.522836126,0.568375314,-6.63950009,8.064790374,2.610245305,9.429866539,1.38
BAR_190627_1041_0008,0.037450348,0.052581775,0.005514369,0.325884473,0.189236111,1.812314148,2.124875669,1.234639013,1.44757155,0.966720649,0.697400642,0.722132289,0.79385214,0.393454658,0.477783962,0.509325457,0.501139508,0.551146443,-4.380251155,14.91012347,2.472664547,8.70177424,1.17
BAR_190627_1041_0009,0.03752086,0.051604086,0.005279969,0.326419275,0.270833333,1.76049118,2.099124682,1.716478901,2.046646565,0.968164118,0.703190393,0.72697938,0.793807516,0.433739536,0.477693431,0.509891754,0.501594502,0.551395847,-4.436306167,14.4087362,2.472257988,8.699674591,1.14
BAR_190627_1041_0010,0.038278784,0.051864221,0.00521977,0.318965747,0.171875,1.652214661,2.085654197,1.022307821,1.290498534,0.967797636,0.69640191,0.720280314,0.785699817,0.383479656,0.46487047,0.497377434,0.491143926,0.542658155,-3.805506546,23.46408292,2.400271559,8.332703191,1.35
BAR_190627_1041_0011,0.035619087,0.050455064,0.005613923,0.315154297,0.309027778,1.591856232,2.098805833,1.770940058,2.334921489,0.964997013,0.697923112,0.72399468,0.796911118,0.453559339,0.47003952,0.498941892,0.492849003,0.54727834,-3.45525685,59.53867951,2.500816403,8.847904915,1.35
BAR_190627_1041_0012,0.035103935,0.051067641,0.005731551,0.337892676,0.336805556,1.565888748,2.132492874,1.898640107,2.585647609,0.966640586,0.712184635,0.737414649,0.811773436,0.472368136,0.502794382,0.532275812,0.520257588,0.568087553,-5.689542606,9.757434998,2.646119031,9.625492796,1.45
