Complexity,Loss,Equation
1,1.2913195,"2.367226"
3,0.6735165,"3.435736 / CH"
5,0.4488999,"2.5137253 / (CH - FC)"
7,0.37337774,"((FC - CH) * 2.3525321) + 5.184006"
9,0.3665662,"((4.3077955 - CH) * (FC - -1.9895257)) - 4.0804563"
11,0.3346505,"((FC - CH) * 2.3635464) + ((-0.0060597677 / FC) - -5.242913)"
13,0.33009943,"((-0.0061653475 / FC) - -5.229862) + ((FC - CH) * (GCC + 1.842418))"
15,0.31749937,"(-0.0060364883 / FC) + ((((NDYI + 1.7885739) * (FC - CH)) - -5.5616894) * BNDVI)"
17,0.27058044,"((((FC - CH) + 2.6110716) - (0.3622315 / ((0.95800763 / IKAW) + -2.0778959))) - IKAW) / 0.55673236"
19,0.25092617,"(((2.524347 - CH) - ((FC * -1.5163783) - (-0.28460118 / ((0.8455809 / IKAW) + -1.7879838)))) - NDYI) / 0.5657288"
21,0.23256889,"(4.062426 - (CH / BNDVI)) - ((FC * -2.4064012) - ((-1.4049898 / ((1.6397626 / NDYI) - 3.140378)) - (IKAW * 3.7929983)))"
23,0.20685567,"(((-1.6785463 / ((1.3141433 / NDYI) - 3.087926)) - ((((FC * 0.47503546) - IKAW) / -0.14919037) * IKAW)) - -5.0237045) - (CH / BNDVI)"
25,0.20134339,"(((-1.7090725 / ((1.2666903 / NDYI) - 3.089128)) - ((((FC * GCC) - NDYI) / -0.14798558) * IKAW)) - -5.519455) - (CH / (BNDVI + -0.12552585))"
27,0.19981587,"(((-1.7108682 / ((1.2473016 / NDYI) - 3.0365078)) - ((((GCC * FC) - NDYI) * IKAW) / -0.14257073)) - -5.444181) - (CH / ((BNDVI + -0.22151394) / 0.8141916))"
29,0.19482993,"((((FC + -2.2008994) / ((1.1661046 / NDYI) - 2.8747678)) - ((((FC * GCC) - NDYI) / -0.123543285) * IKAW)) - -5.2936244) - ((CH / BNDVI) / (BNDVI * 1.278061))"
31,0.19075845,"(((((((-2.2680514 / ((1.5762196 / NDYI) - 3.539276)) - CH) - ((((GCC * FC) - IKAW) * IKAW) * -6.796812)) / BNDVI) / BNDVI) + (6.9421062 - NDYI)) / 1.234863) - NDYI"
33,0.18835564,"(((((((-2.3579493 / ((1.5530365 / NDYI) - 3.5502574)) - CH) - (((GCC * FC) - IKAW) * (IKAW * -6.3166237))) / BNDVI) / BNDVI) + (7.052458 - NDYI)) / 1.2026454) - (NDYI * 1.453598)"
35,0.18816784,"(((((((-2.40818 / ((1.6048845 / NDYI) - 3.6595402)) - CH) - (((GCC * (FC / 0.95676607)) - IKAW) * (IKAW * -6.1218214))) / BNDVI) / BNDVI) + (7.060293 - NDYI)) / 1.1974523) - (NDYI * 1.5966318)"
37,0.18652375,"((((((((-2.3786104 / ((1.5355614 / NDYI) - 3.4330282)) - CH) - ((((FC * GCC) * (NDYI * IKAW)) - IKAW) * (IKAW * -6.573364))) / BNDVI) / BNDVI) + FC) + (6.6527243 - NDYI)) / 1.1967103) - NDYI"
39,0.18503873,"((((((((-2.5021248 / ((1.5626752 / NDYI) - 3.4846618)) - CH) - (((IKAW * ((IKAW * (FC * NDYI)) * IKAW)) - IKAW) * (IKAW * -7.01554))) / BNDVI) + FC) / BNDVI) - (NDYI / 0.5376405)) / 1.1865934) + 5.4936953"
41,0.18420324,"FC + ((((((((-2.3989422 / ((1.4737251 / NDYI) - 3.2775989)) - CH) - ((((NDYI * (NDYI * FC)) * (IKAW * (IKAW * NDYI))) - IKAW) * (IKAW * -6.894504))) / BNDVI) / BNDVI) - (NDYI / 0.48310027)) / 1.2003917) + 5.5108685)"
43,0.18378402,"((((FC + ((((-2.5317109 / ((1.5689534 / NDYI) - 3.4943204)) - CH) - ((IKAW * -7.019412) * ((IKAW * ((((IKAW * IKAW) * IKAW) * (GCC * FC)) * 1.8993788)) - IKAW))) / BNDVI)) / BNDVI) - (NDYI / 0.5371555)) / 1.1848875) + 5.5050015"
45,0.18298715,"((((FC + ((((-2.9988334 / ((1.7859225 / NDYI) - 3.9744697)) - CH) - ((IKAW * (((FC * (IKAW * (((IKAW / 0.4233823) * (IKAW * IKAW)) * IKAW))) * GCC) - IKAW)) * -7.565829)) / BNDVI)) / BNDVI) - (NDYI / 0.6279718)) / 1.209617) + 5.4466414"
47,0.18230256,"((((((((-3.160749 / ((1.8318762 / NDYI) - 4.0778484)) - CH) - (IKAW * (((((((IKAW * (IKAW * IKAW)) / 0.35446575) * ((IKAW * IKAW) * FC)) * IKAW) * GCC) - IKAW) * -7.7336645))) / BNDVI) / BNDVI) - (NDYI / 0.6114026)) / 1.2362595) + FC) + 5.4139724"
49,0.18179415,"(FC + 5.424672) + (((((((-3.1558595 / ((1.8187315 / NDYI) - 4.053094)) - CH) - (((((((((IKAW * IKAW) * ((IKAW * IKAW) * FC)) * (GCC * IKAW)) * IKAW) * IKAW) / 0.27469927) - IKAW) * IKAW) * -7.74436)) / BNDVI) / BNDVI) - (NDYI / 0.6234751)) / 1.2325983)"
