Complexity,Loss,Equation
1,1.2913195,"2.367226"
3,0.6735165,"3.435736 / CH"
5,0.4488999,"2.5137253 / (CH - FC)"
7,0.37337774,"((FC - CH) * 2.3525321) + 5.184006"
9,0.36656618,"((4.307768 - CH) * (FC - -1.9895318)) + -4.080408"
11,0.33465046,"((FC - CH) * 2.363661) + ((-0.006059851 / FC) - -5.243057)"
13,0.31083155,"(((FC - CH) - -2.1668458) / GCC) + (-0.08017631 / (0.49488294 - IKAW))"
15,0.2639033,"(-0.12658815 / (0.5616777 - NDYI)) + (((FC + (BNDVI - IKAW)) * 3.550959) / CH)"
17,0.23890083,"(FC + (((((-0.050067276 / (0.54129934 - NDYI)) + -0.73885125) * CH) - IKAW) - -1.9463075)) / 0.37498376"
19,0.22459751,"(-0.1987565 / (0.46661502 - IKAW)) + (((((FC - IKAW) - (CH * 0.6119851)) / BNDVI) - -2.0081608) / GCC)"
21,0.21319768,"(-0.2647696 / (0.44164118 - IKAW)) + ((((FC - ((CH * 0.44057262) / BNDVI)) - IKAW) - -1.4949293) / (GCC - 0.114689864))"
23,0.20340063,"((((-2.127773 / ((1.8299081 / NDYI) - 4.234692)) - CH) - (-6.485181 * (IKAW * ((0.46931863 * FC) - IKAW)))) / BNDVI) + 5.0702477"
25,0.19986448,"((((-2.2483783 / ((1.9287015 / NDYI) - 4.4332194)) - CH) + (-1.3250557 - ((((FC * GCC) - NDYI) * -6.8930635) * IKAW))) / BNDVI) + 6.77037"
27,0.19167069,"((((FC + -2.0642624) / ((1.2455225 / NDYI) - 3.0633428)) + ((-2.1136312 - CH) - ((IKAW * ((FC * GCC) - NDYI)) * -7.7749))) / BNDVI) + 7.9398093"
29,0.19030383,"((((((IKAW + (FC + -2.4480157)) / ((1.279033 / NDYI) - 3.1329536)) - (((FC * GCC) - NDYI) * (IKAW * -7.54871))) - CH) + -2.4349098) / BNDVI) + 8.428306"
31,0.1867365,"(((((0.8942089 / BNDVI) + -0.6525221) * (((-3.3114207 / ((2.0003948 / NDYI) + -4.4848804)) - CH) - (IKAW * (((FC * GCC) - IKAW) * -7.00675)))) - NDYI) * 2.8555799) + 6.058173"
33,0.18392089,"((((-2.3441017 - CH) + ((FC + (IKAW + -2.252981)) / ((((-0.0048225597 / FC) - -1.1626143) / NDYI) - 2.8108268))) - ((((FC * GCC) - NDYI) * IKAW) * -7.3288097)) / BNDVI) + 8.306961"
35,0.1827649,"((((FC + (IKAW + -2.2069404)) / (BNDVI * ((((-0.0054858336 / FC) + 1.2822219) / NDYI) - 3.0720918))) + ((-2.5409684 - ((IKAW * ((GCC * FC) - NDYI)) * -7.323171)) - CH)) / BNDVI) + 8.57891"
37,0.18183714,"(((BNDVI * 6.884454) - (((IKAW * (GCC * (IKAW + FC))) - IKAW) * ((IKAW + -0.41134173) * -16.171324))) + ((-4.7444735 / ((((-0.4238686 / CH) + 3.0025206) / NDYI) - 6.1381907)) - CH)) - (NDYI / 0.22429214)"
39,0.17659669,"(BNDVI * 7.8847175) + (((((-4.2872386 / ((((-0.4762511 / CH) + 3.1509614) / NDYI) - 6.169748)) - CH) - (NDYI / 0.18582654)) / BNDVI) - ((((IKAW + FC) * (GCC * IKAW)) - IKAW) * ((IKAW + -0.36091217) * -13.806918)))"
41,0.17299576,"(BNDVI * (7.535416 - (((((IKAW * (IKAW + FC)) * GCC) * IKAW) - IKAW) * ((IKAW + -0.27483928) * -14.987386)))) + ((((-4.498513 / ((((-0.5776695 / CH) + 3.1199152) / NDYI) - 6.068152)) - CH) - (NDYI / 0.27673632)) / BNDVI)"
43,0.1725154,"((((-4.5136275 / (((((-0.3524282 / CH) / CH) + 2.9167783) / NDYI) - 6.141229)) - CH) - (NDYI / 0.28046003)) / BNDVI) + ((7.521342 - ((((IKAW + FC) * (IKAW * (IKAW * GCC))) - IKAW) * ((IKAW + -0.2743292) * -14.884405))) * BNDVI)"
45,0.17100583,"(BNDVI * (7.4694977 - ((IKAW + -0.25328153) * (((IKAW * (IKAW * ((FC + IKAW) * ((IKAW + 0.18953222) * GCC)))) - IKAW) * -15.01756)))) + ((((-4.6104355 / ((((-0.56572306 / CH) + 3.1155922) / NDYI) - 5.997242)) - CH) - (NDYI / 0.30334532)) / BNDVI)"
47,0.17039613,"((7.540119 - (((IKAW + -0.2602354) * (((IKAW + 0.19727331) * (((IKAW * IKAW) * GCC) * (IKAW + FC))) - IKAW)) * -15.120469)) * BNDVI) + ((((-4.5445633 / (((((BNDVI + -1.501099) / CH) + 3.1483002) / NDYI) - 6.0401254)) - CH) - (NDYI / 0.29284197)) / BNDVI)"
49,0.17020266,"((((-4.521449 / (((((BNDVI + -1.5188742) / CH) + 3.1549594) / NDYI) - 6.0599403)) - CH) - (NDYI / 0.26496035)) / BNDVI) + ((7.447476 - ((((((FC + IKAW) * GCC) * (IKAW * (IKAW * IKAW))) + 0.1623911) - IKAW) * ((IKAW + -0.1474896) * -14.966007))) * (BNDVI + 0.055640563))"
