Complexity,Loss,Equation
1,1.2913195,"2.367226"
3,0.6735165,"3.435755 / CH"
5,0.4488999,"-2.5136735 / (FC - CH)"
7,0.37337774,"((FC - CH) * 2.3525329) - -5.184008"
9,0.3486495,"(((FC / NDVIf) - CH) - -1.9056722) * 2.2424498"
11,0.32793844,"(-2.2105968 - (FC - CH)) / ((-0.0030851138 / FC) - 0.4122101)"
13,0.3076012,"94.73424 / (((CH * CH) * ((CH * CH) / FC)) + 22.450891)"
15,0.28321928,"(66.768135 / (((CH * CH) * ((CH * CH) / FC)) + 17.25477)) + NIR"
17,0.2722903,"(101.830475 / (((CH * CH) * ((CH * (CH / FC)) * CH)) + 29.998308)) + EVI2"
19,0.2687311,"EVI2 + (88.78908 / ((CH * ((CH * ((CH * CH) * (CH / FC))) - 6.7258964)) + 32.937115))"
21,0.24970499,"0.84716725 + (-0.95258325 / (((CH * (((CH * (-0.056914963 * (CH * CH))) / FC) + 0.9525313)) + -0.79236245) - FC))"
23,0.23081577,"(-1.1390721 / (((CH * ((((CH - NIR) * (CH * CH)) * (-0.08252122 / FC)) + 1.0480417)) - FC) + -1.0054932)) + 0.86612904"
25,0.22496565,"(-1.106551 / ((CH * ((CH * ((((-0.08208972 / FC) * (CH - NIR)) * CH) - Blue)) + 1.091642)) + (-1.0207834 - FC))) + 0.86495155"
27,0.22291149,"NDVIf + ((-0.8929279 / (((CH * (((((CH * -0.035761595) * ((CH / FC) * CH)) - Blue) * CH) + 1.0015074)) + -0.9133233) - FC)) + EVI2)"
29,0.2096913,"(((Blue / (EVI - EVI2)) + -4.8291306) / (((((((CH * CH) * -0.2052355) / FC) * (CH * CH)) + 4.044106) * (CH - FC)) + -4.2137203)) + 0.9337761"
31,0.19909039,"(((Blue / ((EVI2 - EVI) / -0.371534)) + -1.0569918) / (((((((Blue + (CH * (CH * -0.07029051))) * CH) / FC) + 1.1438404) * CH) + -1.0658582) - FC)) + 0.85691756"
33,0.19297253,"(((Blue / ((EVI2 - EVI) / -0.41007015)) + -1.0531795) / (CH * ((CH * (((CH / FC) * ((CH * (CH * -0.07124994)) + Blue)) + 1.534146)) + (-1.4860822 - FC)))) + 1.0231365"
35,0.1876537,"(((Blue / ((EVI2 - EVI) * -1.8843637)) + -1.1716045) / (((CH * (((CH * (CH * (CH / FC))) * -0.050638363) + 0.5858834)) * CH) + ((-0.7165666 - FC) + (Blue / 0.1396004)))) + 0.94565296"
37,0.18535401,"(((Blue / ((EVI2 - EVI) / -0.54004675)) + -1.1685196) / ((((CH * CH) * ((CH * ((CH * CH) * (-0.05028314 / FC))) + 0.5815281)) - FC) + ((Blue / (Green + 0.07781144)) + -0.70996547))) + 0.9414677"
39,0.18259926,"(SAVI + ((((Blue * -1.2057962) / (EVI2 - EVI)) + -2.4705777) / ((Blue / Green) + (((((CH - NDVIf) * ((((CH * (CH * -0.13507906)) * CH) / FC) + 1.5243014)) - FC) * CH) + -1.6008368)))) - -0.42657426"
41,0.1768408,"(NDVIf + (((Blue / ((EVI2 - EVI) / -1.4385632)) + -2.9434373) / (CH * ((Blue / Green) + (((CH * (CH - FC)) * ((2.3496878 - FC) + (CH * ((-0.13906418 / FC) * (CH * CH))))) + -2.6306171))))) + OSAVI"
43,0.17308904,"((-2.2546186 + (Blue / ((EVI2 - EVI) * -0.8600803))) / (((((CH - FC) * (CH * ((2.5440392 + ((CH * ((CH * CH) * -0.15116857)) / FC)) - FC))) + -2.5248337) * CH) + (Blue / Green))) + ((SAVI + NDVIf) / 0.86616784)"
45,0.16994877,"(FC + EVI2) + (((((Blue / (EVI2 - EVI)) / -0.85149586) + -2.369421) / ((Blue / Green) + (CH * ((((CH - FC) * CH) * (((((CH * ((CH * CH) * -0.09698368)) * CH) / FC) - FC) + 2.5831316)) + -2.796789)))) + 0.34285328)"
47,0.16688363,"EVI2 + (((((Blue / ((EVI2 - EVI) / -1.1771967)) + -2.3722615) / ((Blue / Green) + (((((CH - FC) * (((((CH * (-0.09684624 * (CH * CH))) / (-0.0017269708 + FC)) * CH) + 2.5854397) - FC)) * CH) + -2.7980707) * CH))) + FC) + 0.34578934)"
49,0.16548596,"(FC + 0.350079) + ((((Blue / ((EVI2 - EVI) / (-0.48879874 / NIR))) + -2.3762963) / ((CH * (((CH - FC) * (CH * ((2.5887911 - FC) + ((-0.09782484 / (FC + -0.0017259377)) * ((CH * (CH * CH)) * CH))))) + -2.7935624)) + (Blue / Green))) + EVI2)"
