Complexity,Loss,Equation
1,1.2913195,"2.367226"
3,0.6735165,"3.435736 / CH"
5,0.4488999,"2.5135381 / (CH - FC)"
7,0.36601064,"(NIR + FC) * (4.7386155 / CH)"
9,0.31783128,"((NIR + (RGRI * FC)) / CH) * 4.8603044"
11,0.30253303,"(NIR + FC) * ((12.39998 / (CH + NDVI)) - 2.4606664)"
13,0.29556862,"(((15.4773035 / (CH + DSWI4)) + DSWI4) - 3.9335616) * (FC + NIR)"
15,0.28960174,"((((14.853946 - c_depth) / (CH + DSWI4)) + DSWI4) - 3.3027802) * (FC + NIR)"
17,0.2851525,"((DSWI4 + (((-0.014184116 / FC) + 15.759735) / (DSWI4 + CH))) - 4.020885) * (FC + NIR)"
19,0.2784435,"(DSWI4 + (((((-0.0146801835 / FC) - c_depth) + 15.146434) / (CH + DSWI4)) - 3.3932557)) * (NIR + FC)"
21,0.27121818,"((RCC + (FC * 3.9983199)) + (16.10829 / (((c_depth + -1.2887727) * ((c_depth * BAI) - SR)) + BAI))) / CH"
23,0.2578086,"GBNDVI + (((17.677132 / ((((c_depth + c_depth) + -2.1185808) * ((BAI * c_depth) - SR)) + BAI)) + (FC * 2.8007271)) / CH)"
25,0.23914002,"(((11.612432 / (BAI + ((((c_depth + CH) + -2.8007884) * c_depth) * ((BAI * CH) - SR)))) + (FC * 3.1156657)) / CH) + GNDVI"
27,0.23266728,"GNDVI + (((11.230035 / (((((BAI * CH) - SR) * (((CH + c_depth) + VARI) - 2.7345617)) * c_depth) + BAI)) + (FC * 3.2605002)) / CH)"
29,0.22894156,"(((11.281451 / ((((CH * BAI) - SR) * ((CH + ((c_depth + VARI) - 2.7259064)) * c_depth)) + BAI)) + ((MRBVI + 2.4298637) * FC)) / CH) + GNDVI"
31,0.2255402,"((2.0082378 / CH) + ((FC + -0.29618725) * CH)) + ((8.580962 - (BCC / FC)) / (BAI + (((c_depth + CH) + -2.787577) * (((BAI * CH) - CIG) * c_depth))))"
33,0.21596625,"((1.9337851 / CH) + ((8.824793 - (BCC / FC)) / (BAI + (((CH * BAI) - CIG) * (((VARI + (CH + -2.7314343)) + c_depth) * c_depth))))) + ((FC + -0.26542053) * CH)"
35,0.20921873,"(((FC + -0.27362937) * CH) + (2.0454676 / CH)) + ((7.819715 - (0.079419754 / FC)) / (BAI + ((((c_depth * 2.1122751) * BAI) - SR2) * (((CH * (CH + -2.3565423)) + BCC) + c_depth))))"
37,0.19358093,"((1.6967226 / CH) + (((-0.09905589 / FC) + 10.356291) / (BAI + ((((BAI - (BAI * FC)) * c_depth) - 2.4079359) * ((((CH + (-1.9017856 - FC)) * (MRBVI * CH)) + c_depth) * 4.911213))))) + FC"
39,0.18710586,"FC + ((1.6906763 / CH) + (((-0.09488604 / FC) + 9.830147) / (((((BAI - (FC * BAI)) * c_depth) - 2.2764654) * ((c_depth + ((((CH - FC) * MRBVI) + -1.838402) * (CH * MRBVI))) * 5.067182)) + BAI)))"
41,0.18545502,"((1.789772 / CH) + (((-0.09550991 / FC) + 9.732834) / (((((MRBVI * CH) * (((CH - FC) * MRBVI) + -1.8504813)) + c_depth) * ((((BAI - (FC * BAI)) * c_depth) - 2.2677312) * 4.92829)) + BAI))) + (FC - Green)"
43,0.18353264,"(1.466195 / (CH + PISI)) + ((FC * 1.2588896) + (((-0.09547465 / FC) + 9.147788) / (BAI + ((((BAI - (BAI * FC)) * c_depth) - 2.3369887) * ((c_depth + ((CH * MRBVI) * ((MRBVI * (CH - FC)) + -1.843871))) * 5.392166)))))"
45,0.18164235,"(((-0.09320367 / FC) + 9.0905905) / (((c_depth + (CH * ((((ExG + MRBVI) * (CH - FC)) + -1.9197723) * MRBVI))) * ((((BAI - (BAI * FC)) * c_depth) + -2.3147233) * 4.9573092)) + BAI)) + ((FC * 1.2571304) + (1.4600863 / (CH + PISI)))"
47,0.1797863,"((((-0.09097375 / FC) + 9.16223) / (BAI + (((((((CH - FC) * (MRBVI + ExG)) + -1.9166868) * (CH * MRBVI)) + c_depth) * ((BNDVI / -0.40241155) + (c_depth * (BAI - (BAI * FC))))) * 4.918292))) + (1.4313914 / (CH + PISI))) + (FC * 1.2919917)"
49,0.17917167,"(((FC - ExG) * 1.3577949) + (1.4921016 / (CH + PISI))) + (((-0.08990641 / FC) + 8.972652) / (BAI + (((c_depth * ((BAI - (FC * BAI)) * 4.8731165)) + (BNDVI / -0.08417343)) * ((CH * (((((CH - FC) * MRBVI) + -1.9263717) * MRBVI) + ExG)) + c_depth))))"
