Complexity,Loss,Equation
1,1.2913195,"2.367226"
3,0.6735165,"3.435755 / CH"
5,0.4488999,"2.5136766 / (CH - FC)"
7,0.37337774,"((CH - FC) * -2.3525321) + 5.184006"
9,0.36564273,"((FC + 2.2135975) - CH) * (2.3468027 - VARI)"
11,0.33337325,"((CH - (FC / (VARI + 0.60658777))) * -2.1992533) + 4.5557036"
13,0.3187155,"((2.3489943 - VARI) * ((FC + 2.2349484) - CH)) + (-0.0066803936 / FC)"
15,0.29965433,"((4.026755 / BAI) + (1.429788 - VARI)) * (2.2579322 + ((FC * 1.6128174) - CH))"
17,0.2884825,"((-0.0029876938 / FC) + (FC + (2.3755755 - CH))) * (((3.6552927 / BAI) + 1.6626666) - VARI)"
19,0.27712622,"(((3.782226 / BAI) + 1.5315768) - VARI) * ((((FC * 1.3910253) + 2.3057294) - CH) + (-0.0025362577 / FC))"
21,0.2691256,"(7.0590186 / BAI) + (((c_depth - 1.8452015) * (((c_depth - VARI) * 2.3745449) * (CH + -2.0719144))) - (FC / -0.46762305))"
23,0.25481945,"(((CH + -2.176972) * ((c_depth - 2.090285) * ((c_depth - VARI) * (2.502719 - c_depth)))) - (FC / -0.4603682)) + (6.4211736 / BAI)"
25,0.24653868,"(6.21048 / BAI) + (((CH + -2.0846155) * (((c_depth * (c_depth - 1.9240938)) + VARI) * (MRBVI - (c_depth + -2.1246881)))) - (FC / -0.42909387))"
27,0.24375883,"(((((MRBVI - (c_depth + -2.2619245)) * (CH + -2.0195246)) * (VARI + ((c_depth - 1.8973414) * c_depth))) - (FC / -0.46455273)) + 0.19335392) + (5.6505527 / BAI)"
29,0.24177219,"((((((c_depth * (c_depth - 1.98381)) + VARI) * (CH + -2.0349035)) * (MRBVI - ((c_depth / GNDVI) + -2.4409575))) + (5.083772 / BAI)) + 0.2508742) - (FC / -0.4780042)"
31,0.2340718,"((((MRBVI * (VARI + (c_depth * (c_depth - 1.5517634)))) * ((-0.011560438 / FC) - (CH + -2.0763087))) * -2.0302205) + ((5.1238894 / BAI) + (2.3220549 - CH))) - (FC / -0.5108796)"
33,0.23134157,"(5.815567 / BAI) + (((2.2671685 - CH) + ((VARI + ((c_depth - 1.5727983) * c_depth)) * (((((-0.013428964 / FC) - (CH + -2.0911593)) * MRBVI) - VARI) * -1.7446517))) - (FC / -0.49478137))"
35,0.22658691,"FC + ((5.3319516 / BAI) + (((((0.019800305 / FC) - (FC + (((MRBVI * (CH + -1.8873554)) + VARI) * -1.923715))) * (VARI + ((c_depth - 1.5292245) * c_depth))) + (FC + 2.2942803)) - CH))"
37,0.22459653,"((FC + (FC - CH)) + (2.2887435 + (5.5022693 / BAI))) + (((((-0.009798473 / FC) - (VARI + ((CH + -1.8725837) * MRBVI))) * (FC + -2.2263134)) - FC) * (((c_depth - 1.5282403) * c_depth) + VARI))"
39,0.22410274,"((FC + ((VARI + (c_depth * (c_depth - 1.5350821))) * ((((-0.0096495785 / FC) - (VARI + ((CH + -1.8704959) * MRBVI))) * (-2.2452755 + FC)) - FC))) + FC) + (((5.3911495 / (BAI - VARI)) + 2.2917736) - CH)"
41,0.22195739,"((((((c_depth - 1.5580298) * c_depth) + VARI) * (((0.021942386 / FC) - (((MRBVI * (CH + -1.8919114)) + VARI) * ((FC / (CH - FC)) + -2.2257485))) - FC)) - CH) + (2.2723951 + (5.5893674 / BAI))) + (FC + FC)"
43,0.21892363,"(((VARI + (c_depth * (c_depth - 1.5512401))) * ((((c_depth / (CH + (-0.32572186 - FC))) + -3.2417793) * ((-0.008490051 / FC) - (VARI + (MRBVI * (CH + -1.8762728))))) - FC)) + (5.761949 / BAI)) + (((FC + FC) + 2.2589114) - CH)"
45,0.21687931,"FC + (((VARI + ((c_depth - 1.5557542) * c_depth)) * ((((-0.009844719 / FC) - (VARI + ((CH + -1.8914346) * MRBVI))) * ((FC / ((-2.1625946 / BAI) + (CH - FC))) + -2.374325)) - FC)) + (((6.322805 / BAI) + (2.2222233 - CH)) + FC))"
47,0.21485956,"FC + (((VARI + ((c_depth - 1.5699877) * c_depth)) * ((((-0.009489263 / FC) - ((MRBVI * (CH + -1.8931365)) + VARI)) * ((FC / ((CH + (-2.2655692 / BAI)) - (FC - VARI))) + -2.546582)) - FC)) + ((5.9572086 / BAI) + ((FC - CH) + 2.2356257)))"
49,0.21384545,"(6.053182 / BAI) + ((((FC + FC) - CH) + (((((-0.009510409 / FC) - (VARI + ((CH + -1.8933024) * MRBVI))) * ((FC / ((CH + (-2.3629692 / BAI)) - (FC - (VARI * MRBVI)))) + -2.549609)) - FC) * ((c_depth * (c_depth - 1.5694866)) + VARI))) + 2.2290618)"
