Complexity,Loss,Equation
1,1.2913195,"2.367226"
3,0.6735165,"3.435755 / CH"
5,0.4488999,"2.5135531 / (CH - FC)"
7,0.36601064,"((NIR + FC) / CH) * 4.738326"
9,0.33425507,"(FC + NIR) * ((5.6827297 / CH) - NDVI)"
11,0.31497166,"(FC / OSAVI) + ((NIR * (CH + -2.403448)) * -5.0082593)"
13,0.29734287,"((NIR * (CH + -2.0716186)) * -5.378954) + ((FC * 1.6362329) / NDVIf)"
15,0.28638223,"((((NIR * -4.2666802) + EVI) * (CH + -2.0268192)) + (FC / NDVIf)) * 1.7428814"
17,0.26817903,"(1.9994965 / (((CH * (0.5801587 - CH)) * ((NIR - 0.53230083) / FC)) + SAVI)) - -0.5819575"
19,0.24947082,"(1.574048 / (NDVI + ((((SAVI - (CH * 0.5269865)) / FC) - -0.56846184) * (0.7390623 - CH)))) - -0.7000255"
21,0.23779996,"(1.9758798 / (NDVI + ((0.01813395 + (c_depth * ((EVI2 - (CH * 0.41875416)) * (0.7021539 - CH)))) / FC))) - -0.72473675"
23,0.22960699,"(1.8744619 / (((CH * ((((EVI2 - (CH * 0.40212217)) * (0.8405307 - CH)) * c_depth) + Blue)) / FC) + NDVI)) - -0.9203866"
25,0.21641219,"(1.8044099 / (NDVI + (((CH - 0.5821581) * (Green - (c_depth * ((NIR - (CH * 0.29301456)) * CH)))) / FC))) - (-0.5009017 - NDVIf)"
27,0.21471101,"(1.7972425 / ((((CH - (NIR * 1.3555833)) / FC) * (Green - ((c_depth * (NIR - (CH * 0.29473132))) * CH))) + NDVI)) - (-0.546605 - NDVIf)"
29,0.20250218,"(1.2127819 / (NDVIf - (((((NIR - (CH * 0.33663014)) * (c_depth - (c_depth * CH))) + Blue) / FC) * ((1.0625637 / TSAVIm) - CH)))) + (NDVIf / 0.42017606)"
31,0.19250336,"(1.1135588 / (NDVIf - ((((c_depth - (c_depth * CH)) * (NIR - (CH * 0.30721083))) + Blue) * (((MSR / TSAVIm) - CH) * (CH / FC))))) + (NDVIf / 0.37140855)"
33,0.18932343,"(1.1048243 / (NDVIf - ((CH * ((((NIR - (CH * 0.31074765)) * (c_depth - (CH * c_depth))) + Blue) / FC)) * (((0.14532034 / Red) / TSAVIm) - CH)))) + (NDVIf / 0.36397332)"
35,0.18491435,"(1.0562543 / (NDVIf - ((CH * ((((0.1507516 / Red) / TSAVIm) - CH) * (((NIR - (CH * 0.29856813)) * ((c_depth - (c_depth * CH)) * CH)) + Blue))) / FC))) + (NDVIf / 0.34523922)"
37,0.18323754,"(1.0481979 / (NDVIf - ((((((NDVIf * 0.39000705) / Green) / TSAVIm) - CH) * (((((c_depth - (CH * c_depth)) * CH) * (NIR - (CH * 0.2995217))) + Blue) / FC)) * CH))) + (NDVIf / 0.3447655)"
39,0.18266581,"(0.84993947 + FC) + (1.79907 / ((NDVIf + (((((NIR - (CH * 0.3022175)) * (c_depth - (c_depth * CH))) + 0.015432344) * (-0.7016618 / FC)) * ((0.59721553 - CH) / (NIR - (Blue / (Red + 0.07076633)))))) * 1.568371))"
41,0.17734993,"(1.7413694 / (((((-0.4784718 / (NIR - (Blue / (Red + 0.070513725)))) * ((0.58947647 - CH) * ((((c_depth - (c_depth * CH)) * CH) * (NIR - (CH * 0.2975444))) + 0.022252453))) / FC) + NDVIf) * 1.5404091)) + (FC + 0.8769375)"
43,0.17524372,"(1.7445233 / ((((((0.5811272 - CH) * -0.3238587) / FC) * (((CH * (((NIR - (CH * 0.2951739)) * CH) * (c_depth - (c_depth * CH)))) + 0.03215913) / (NIR - (Blue / (Red + 0.069335826))))) + NDVIf) * 1.5662016)) + (FC + 0.91110414)"
45,0.17255208,"(0.8001305 + (1.7510421 / ((((((((NIR - (CH * 0.29861298)) * (CH * ((c_depth - (c_depth * CH)) * CH))) + 0.029487677) * (0.5882743 - CH)) * (-0.3248874 / FC)) / (NIR - (Blue / (0.06904889 + Red)))) + NDVIf) * 1.5853428))) + (FC * 1.3085407)"
47,0.1708784,"((1.7495086 / ((((0.5855335 - CH) / (NIR - (Blue / (Red + 0.06867971)))) * ((-0.49990097 / FC) * ((((c_depth * (NIR - (CH * 0.29861638))) * (c_depth - (c_depth * CH))) * (CH * CH)) + 0.032098632))) + (NDVIf * 1.5876149))) + (FC * 1.3785231)) + 0.8106931"
49,0.16922799,"((1.7553765 / ((((0.58158386 - CH) * (-0.49921504 / FC)) * (((((NIR - (CH * 0.2990717)) * (((c_depth - (c_depth * CH)) * CH) * CH)) * c_depth) + 0.03149423) / (NIR - (Blue / (Red + 0.06867493))))) + (NDVIf * 1.5810932))) + (FC * (NDVIf + NDVI))) + 0.8683372"
