complexity,loss,equation,score,sympy_format,lambda_format
1,1.2913195,2.367226,0.0,2.36722600000000,PySRFunction(X=>2.36722600000000)
3,0.6735165,3.435736 / CH,0.3254536741813962,3.435736/CH,PySRFunction(X=>3.435736/CH)
5,0.4488999,2.5136383 / (CH - FC),0.2028562857078208,2.5136383/(CH - FC),PySRFunction(X=>2.5136383/(CH - FC))
7,0.37337774,((CH - FC) * -2.3525379) + 5.1840177,0.092104654022531,5.1840177 + (CH - FC)*(-2.3525379),PySRFunction(X=>5.1840177 + (CH - FC)*(-2.3525379))
9,0.35838,(((CH - FC) * -3.862232) + 8.895663) * GOSAVI,0.020498369501883454,GOSAVI*(8.895663 + (CH - FC)*(-3.862232)),PySRFunction(X=>GOSAVI*(8.895663 + (CH - FC)*(-3.862232)))
11,0.33465046,(((CH - FC) * -2.363494) + 5.242853) + (-0.006059805 / FC),0.03425364592805818,(CH - FC)*(-2.363494) + 5.242853 - 0.006059805/FC,PySRFunction(X=>(CH - FC)*(-2.363494) + 5.242853 - 0.006059805/FC)
13,0.32437408,GEMI * (((-0.00697888 / FC) + 5.8774347) + ((CH - FC) * -2.5112684)),0.015594583211764445,GEMI*((CH - FC)*(-2.5112684) + 5.8774347 - 0.00697888/FC),PySRFunction(X=>GEMI*((CH - FC)*(-2.5112684) + 5.8774347 - 0.00697888/FC))
15,0.3133929,((((CH - FC) * (-2.09914 - MTVI1)) + 6.0270085) * GEMI) + (-0.0059399884 / FC),0.017219871390817175,GEMI*((CH - FC)*(-MTVI1 - 2.09914) + 6.0270085) - 0.0059399884/FC,PySRFunction(X=>GEMI*((CH - FC)*(-MTVI1 - 2.09914) + 6.0270085) - 0.0059399884/FC)
17,0.28903162,GBNDVI * (((CH * -2.4675777) + ((VrNIRBI + FC) / ((IKAW * -1.8664443) - -1.6202207))) + 8.536654),0.04046079050944124,GBNDVI*(CH*(-2.4675777) + (FC + VrNIRBI)/(IKAW*(-1.8664443) - 1*(-1.6202207)) + 8.536654),PySRFunction(X=>GBNDVI*(CH*(-2.4675777) + (FC + VrNIRBI)/(IKAW*(-1.8664443) - 1*(-1.6202207)) + 8.536654))
19,0.27040014,(GBNDVI * (((CH * -1.8332703) + ((FC + -1.1548545) / ((IKAW * -1.5922022) - -1.4970173))) + 7.5826025)) / GARI,0.033316615985976565,GBNDVI*(CH*(-1.8332703) + (FC - 1.1548545)/(IKAW*(-1.5922022) - 1*(-1.4970173)) + 7.5826025)/GARI,PySRFunction(X=>GBNDVI*(CH*(-1.8332703) + (FC - 1.1548545)/(IKAW*(-1.5922022) - 1*(-1.4970173)) + 7.5826025)/GARI)
21,0.23203376,(((CH - (GCC / (-1.778681 - (NDYI * -3.3220892)))) * -1.0465995) + 3.0602162) * (FC + ((IKAW * -2.1306126) + 2.081147)),0.0765099917995359,(3.0602162 + (CH - GCC/(-(-3.3220892)*NDYI - 1.778681))*(-1.0465995))*(FC + IKAW*(-2.1306126) + 2.081147),PySRFunction(X=>(3.0602162 + (CH - GCC/(-(-3.3220892)*NDYI - 1.778681))*(-1.0465995))*(FC + IKAW*(-2.1306126) + 2.081147))
23,0.21163355,((CH - (GCC / (-1.2562525 - (NDYI * -2.5201893)))) * -1.300431) + (BNDVI * (((IKAW * -2.1131625) + (FC + 2.4931276)) * 2.3654578)),0.046013318515019525,BNDVI*(FC + IKAW*(-2.1131625) + 2.4931276)*2.3654578 + (CH - GCC/(-(-2.5201893)*NDYI - 1.2562525))*(-1.300431),PySRFunction(X=>BNDVI*(FC + IKAW*(-2.1131625) + 2.4931276)*2.3654578 + (CH - GCC/(-(-2.5201893)*NDYI - 1.2562525))*(-1.300431))
25,0.19510357,((CH - (DSWI4 / (-2.0318093 - (NDYI * -4.4556236)))) / -0.9599918) + ((((FC + -2.8619394) * NDYI) + 2.7458477) * ((BNDVI * 5.634472) - 2.168929)),0.04066284776041507,(CH - DSWI4/(-(-4.4556236)*NDYI - 2.0318093))/(-0.9599918) + (BNDVI*5.634472 - 1*2.168929)*(NDYI*(FC - 2.8619394) + 2.7458477),PySRFunction(X=>(CH - DSWI4/(-(-4.4556236)*NDYI - 2.0318093))/(-0.9599918) + (BNDVI*5.634472 - 1*2.168929)*(NDYI*(FC - 2.8619394) + 2.7458477))
27,0.18694311,NLI + ((((BNDVI * 5.2581687) - 2.1844287) * ((NDYI * (FC + -3.131631)) + 2.7806127)) + ((CH - (DSWI4 / (-1.7480158 - (NDYI * -3.7902544)))) * -0.89836764)),0.021363099900124066,NLI + (CH - DSWI4/(-(-3.7902544)*NDYI - 1.7480158))*(-0.89836764) + (BNDVI*5.2581687 - 1*2.1844287)*(NDYI*(FC - 3.131631) + 2.7806127),PySRFunction(X=>NLI + (CH - DSWI4/(-(-3.7902544)*NDYI - 1.7480158))*(-0.89836764) + (BNDVI*5.2581687 - 1*2.1844287)*(NDYI*(FC - 3.131631) + 2.7806127))
29,0.18361363,(NLI + (((BNDVI * 4.4648824) - 1.5662483) * (((FC + -3.112005) * NDYI) + 2.735561))) + ((GRNDVI + -1.4208407) * (CH - (DSWI4 / (-1.6502352 - (NDYI * -3.4748812))))),0.008985316533136438,NLI + (CH - DSWI4/(-(-3.4748812)*NDYI - 1.6502352))*(GRNDVI - 1.4208407) + (BNDVI*4.4648824 - 1*1.5662483)*(NDYI*(FC - 3.112005) + 2.735561),PySRFunction(X=>NLI + (CH - DSWI4/(-(-3.4748812)*NDYI - 1.6502352))*(GRNDVI - 1.4208407) + (BNDVI*4.4648824 - 1*1.5662483)*(NDYI*(FC - 3.112005) + 2.735561))
31,0.17952089,((CH - (1.4508331 / (-2.2657738 - (NDYI * -4.6463885)))) * ((-3.1240773 - VARI) + (4.18461 * GOSAVI))) + (BNDVI * ((((FC + (-2.9039097 + MGRVI)) * NDYI) + 2.63074) * 2.9733963)),0.01127106645838288,BNDVI*(NDYI*(FC + MGRVI - 2.9039097) + 2.63074)*2.9733963 + (CH - 1.4508331/(-(-4.6463885)*NDYI - 2.2657738))*(4.18461*GOSAVI - VARI - 3.1240773),PySRFunction(X=>BNDVI*(NDYI*(FC + MGRVI - 2.9039097) + 2.63074)*2.9733963 + (CH - 1.4508331/(-(-4.6463885)*NDYI - 2.2657738))*(4.18461*GOSAVI - VARI - 3.1240773))
