Complexity,Loss,Equation
1,1.2913195,"2.367226"
3,0.6735165,"3.435736 / CH"
5,0.4678649,"(NDVIf * 7.3720574) / CH"
7,0.40077123,"NDVIf * ((9.989197 / CH) + -1.9020299)"
9,0.3700102,"((FC * 2.6769655) + (CH * -2.3277962)) + 5.0268655"
11,0.35924494,"(CH * -1.704582) + ((FC * (4.182082 / CH)) + 4.013702)"
13,0.34390482,"((CH / -0.5752174) + (4.5065556 / (CH + (0.42118195 / FC)))) - -3.522908"
15,0.33168405,"(CH / -0.683394) + (((2.894127 / ((0.09787269 / FC) + CH)) + 2.735858) + FC)"
17,0.32173127,"((CH / -0.7489246) + FC) + (((2.5350406 / (CH + (0.025740966 / FC))) + FC) + 2.1260843)"
19,0.31310913,"((2.6022122 / ((0.02064759 / FC) + CH)) + 1.2199055) + ((CH / -0.8774286) + (FC + (MCARI1 + FC)))"
21,0.30866572,"(CH / -0.9263195) + (((FC + (2.6755073 / (CH + (0.022458052 / FC)))) + (MCARI1 + (FC + 1.2199095))) - NGRDI)"
23,0.30456218,"(5.0608616 / (((0.018750427 / FC) + 0.64020634) + CH)) + (((((CH / -0.8823108) - NGRDI) + MCARI1) + FC) + (GNDVI + FC))"
25,0.30443105,"(FC + ((MCARI1 + (GNDVI + ((CH / -0.9331105) - (NGRDI - -0.16728859)))) + (5.0789533 / (((0.017258089 / FC) + 0.5893962) + CH)))) + FC"
27,0.30419934,"(GNDVI + ((((MCARI1 + (CH / -0.9332834)) - (NGRDI - -0.1672833)) + (5.079422 / ((0.01770004 / FC) + (CH + 0.5894767)))) + FC)) + (FC + ExR)"
29,0.28924206,"((SAVI * 3.511786) + (2.524388 / ((0.054135855 / FC) + CH))) + (((CH / -0.6480184) / ((FC + 2.0484936) - (DVI - (IKAW * (NDYI * -1.306025))))) + IKAW)"
31,0.2785599,"((SAVI * 3.6372535) + ((2.0852387 / ((0.028818417 / FC) + CH)) + ((CH / -0.95091766) / ((FC + 0.88943887) * (1.8894827 - (DVI - (IKAW * (-1.5126574 * IKAW)))))))) + IKAW"
33,0.27826986,"((((CH / -0.95114386) / ((1.8894788 - (DVI - (IKAW * (-1.5127864 * IKAW)))) * (FC + 0.88922334))) + (IKAW + (3.6374047 * SAVI))) + (2.0848968 / (CH + (0.028796075 / FC)))) + 0.016797576"
37,0.27688333,"((CH / -0.86191237) / (FC + (((-0.325136 - (RGRI * -1.9231833)) * (1.7128452 - (DVI - ((IKAW * -1.7681367) * IKAW)))) + 0.2295211))) + ((IKAW + (MTVI2 * 3.4803727)) + (2.1694617 / (CH + (0.03316299 / FC))))"
39,0.2618679,"((CH * -1.7626092) / ((((1.747885 - (DVI - ((IKAW * -1.964411) * IKAW))) / (FC + (-0.27825338 - RGRI))) * -2.0694253) + GNDVI)) + (((RI + MCARI2) * 3.7109902) + (IKAW + (2.2906475 / (CH + (0.032642677 / FC)))))"
41,0.25931644,"(((MTVI2 + RI) * 3.959305) + (2.5306258 / (BCC + (CH + (0.035616715 / FC))))) + (((CH * -1.8578564) / (GNDVI + (((1.5454395 - (DVI - ((IKAW * IKAW) * -1.6563264))) / ((FC + -0.314232) - RGRI)) * -2.2872102))) + IKAW)"
43,0.25665388,"(((CH / (GNDVI + ((-2.32182 / ((FC + -0.28799173) - RGRI)) * (1.6937723 - (DVI - ((IKAW * IKAW) * -1.9112227)))))) * -1.8475693) + (((RI + MTVI2) * 3.9819632) + IKAW)) + ((2.4230556 / ((CH + (0.03266063 / FC)) + ExGR)) - BCC)"
45,0.2561652,"((((CH / (GNDVI + ((-2.333711 / ((FC + -0.28427985) - RGRI)) * (1.6931292 - (DVI - ((IKAW * -1.8982778) * IKAW)))))) * -1.8896583) + (((RI + MTVI2) * 3.996071) + IKAW)) + (ExR + (2.421959 / ((CH + (0.03267017 / FC)) + ExGR)))) - BCC"
47,0.25585103,"(((CH / (GNDVI + ((1.7081575 - (DVI - ((IKAW * IKAW) * -1.9277388))) * (-2.3209193 / ((FC + -0.27691066) - RGRI))))) * -1.8798114) + (((MTVI2 + RI) * 3.9769547) + ((IKAW + (2.416926 / ((0.033030927 / FC) + (ExGR + CH)))) - BCC))) + (ExR + ExR)"
49,0.25556386,"(ExR + ((CH / (GNDVI + ((1.7073406 - (DVI - ((IKAW * IKAW) * -1.911616))) * (-2.3412223 / (FC + (-0.2772152 - RGRI)))))) * -1.9446732)) + (((((RI + MTVI2) * 4.0280123) + (IKAW + (2.3996212 / ((0.03359999 / FC) + ((VIG * DVI) + CH))))) - BCC) + ExR)"
