Complexity,Loss,Equation
1,1.2913195,"2.367226"
3,0.6735165,"3.435755 / CH"
5,0.46786493,"(NDVIf * 7.371994) / CH"
7,0.3733778,"((FC - CH) - -2.2035303) * 2.352667"
9,0.35320312,"(((-0.46333402 / NDVIf) - CH) - -3.5911145) * 2.2928228"
11,0.32882082,"(-2.2180743 - (FC - CH)) / ((-0.004057927 / FC) - 0.41076708)"
13,0.32435334,"(-2.2588782 - (FC - CH)) / (((CH * -0.004420463) / FC) - 0.42137855)"
15,0.3161803,"((-2.283947 - (FC - CH)) / ((-0.0053796503 / FC) - 0.7226099)) * (EVI2 - -1.0376066)"
17,0.30690572,"(SAVI + (EVI2 / NDVI)) * ((-2.2981772 - (FC - CH)) / ((-0.005271484 / FC) - OSAVI))"
19,0.30398452,"(0.018813653 - (FC - ((CH - 2.31865) * ((EVI2 + 0.28948218) / NDVI)))) / ((-0.005097945 / FC) - 0.48373187)"
21,0.29867786,"(Green - (FC - ((CH - 2.431203) * ((EVI2 + 0.35425854) / NDVI)))) / ((CH / (FC * -140.97578)) - 0.52980566)"
23,0.2940629,"((c_depth * Green) - (FC - ((CH - 2.4808905) * ((EVI2 + 0.3184959) / NDVI)))) / ((CH / (FC * -140.97572)) - 0.5357473)"
25,0.2871231,"(((FC - (CH - 2.6655192)) * ((Green * (c_depth * 2.7141006)) - (EVI2 + 0.3962844))) / NDVI) / ((CH / (FC * -137.65163)) - 0.6050954)"
27,0.2854382,"((FC - (CH - 2.6959407)) * ((Green * (c_depth * 3.4078526)) + (Blue - ((EVI2 + 0.3410589) / NDVI)))) / ((CH / (FC * -137.65466)) - 0.5663223)"
29,0.28517464,"Blue + ((((c_depth * 3.2374701) * Green) - ((EVI2 + 0.32761556) / NDVI)) * ((FC - (CH - 2.657022)) / (((CH / (FC * -137.65431)) - 0.54430276) - Blue)))"
31,0.28349584,"((((FC + (NDVIf + 1.2994419)) - CH) / (NDVIf / (OSAVI - ((SAVI + (0.33096716 - (NDVIf / (0.7744561 - (FC / (CH * -0.03664961)))))) - Blue)))) * -4.3005886) + 1.151732"
33,0.28234532,"(((FC + NDVIf) + (1.3527665 - CH)) * (-4.309763 / (NDVIf / (OSAVI - (((SAVI - (NDVIf / (0.79229414 - (FC / ((c_depth + NIR) * -0.040352304))))) - Blue) + 0.3301692))))) + 1.0699961"
35,0.27032268,"((NDVIf + (1.6348687 - CH)) * (-3.3729 / (NDVIf / (OSAVI - (SAVI + (0.45415026 - (NDVIf / (NDVI - (FC / (((c_depth * (c_depth + -1.5371035)) + 0.7898477) * -0.4718186)))))))))) + (FC + 0.898325)"
37,0.26680565,"FC + (0.9406359 + ((((NDVIf + 1.6082962) - CH) / (NDVIf / (OSAVI - ((SAVI + 0.4590602) - (NDVIf / (NDVI - (FC / ((NDVI + (c_depth * (c_depth + (-0.99271864 - SAVI)))) * -0.5158177)))))))) * -3.3106894))"
39,0.26363716,"(FC + ((((NDVIf / 0.37375) + 0.8994616) - CH) * (-4.222353 / (NDVIf / (OSAVI - ((SAVI + 0.44845805) - (NDVIf / (NDVI - (FC / (((c_depth * (c_depth + -1.5060474)) + (FC + 0.6779873)) * -0.44811016)))))))))) + 0.9122568"
41,0.25783226,"(((((NDVIf / 0.32856593) + 0.70606863) - CH) * (-4.1999054 / (NDVIf / (OSAVI - ((SAVI + 0.4441631) - (NDVIf / (NDVI - (FC / (((c_depth * ((c_depth + -0.7914555) - EVI2)) + (FC + EVI)) * -0.44068184))))))))) + 0.9565581) + FC"
43,0.2531413,"(FC + (((((NDVIf / 0.4451823) + 1.0064487) - CH) * -5.038932) / (NDVIf / (OSAVI - (SAVI + (0.4456416 - (NDVIf / (NDVI - (FC / (((c_depth * (c_depth * (c_depth + (-0.7117349 - EVI2)))) + (EVI + FC)) * -0.37582773)))))))))) + 0.9691289"
45,0.2514345,"((((((NDVIf / 0.3968955) - CH) + 0.8895758) / (NDVIf / (OSAVI - ((SAVI + 0.43579382) - (NDVIf / (NDVI - (FC / ((EVI + (FC + (((c_depth + -0.76448315) - EVI2) * ((c_depth * c_depth) - -0.17136094)))) * -0.38650054)))))))) * -4.5162573) + 0.9826369) + FC"
47,0.2499782,"((((NDVIf + Blue) / 0.41343275) + (0.87582064 - CH)) * (-4.7828526 / (NDVIf / (OSAVI - (SAVI + (0.4443013 - (NDVIf / (NDVI - (FC / ((FC + (EVI + (((c_depth * c_depth) - -0.12703986) * (c_depth + (-0.7949306 - EVI2))))) * -0.4230273)))))))))) + (FC + 0.97801477)"
49,0.249295,"(FC / 0.758244) + (((((((NDVIf + Blue) / 0.43719772) + 0.9529707) - CH) * -4.789868) / (NDVIf / (OSAVI - ((SAVI + 0.4510946) - (NDVIf / (NDVI - (FC / (((FC + EVI) + (((c_depth - EVI2) + -0.7828397) * ((c_depth * c_depth) - -0.15438882))) * -0.4728963)))))))) + 0.87272143)"
